"","TIME_PERIOD","Cna_produit","OBS_VALUE"
"451",1987-07-01,"Biens",-0.0106540770443709
"452",1987-07-01,"Biens manufacturés",-0.000842219529199283
"453",1987-07-01,"Biens industriels",-0.0134848704619574
"454",1987-04-01,"Biens",-0.0155164306985006
"455",1987-04-01,"Biens manufacturés",-0.00601754444291407
"456",1987-04-01,"Biens industriels",-0.0174114585064901
"457",1987-01-01,"Biens",-0.0153844665734861
"458",1987-01-01,"Biens manufacturés",-0.00414476197845884
"459",1987-01-01,"Biens industriels",-0.0173045021691082
"460",1986-10-01,"Biens",-0.00691169414057009
"461",1986-10-01,"Biens manufacturés",0.00275304507141922
"462",1986-10-01,"Biens industriels",-0.00848209308975993
"463",1986-07-01,"Biens",-0.00655991305667471
"464",1986-07-01,"Biens manufacturés",0.004151347964224
"465",1986-07-01,"Biens industriels",-0.00887546445653078
"466",1986-04-01,"Biens",-0.0117908654445381
"467",1986-04-01,"Biens manufacturés",0.00191445764511739
"468",1986-04-01,"Biens industriels",-0.0136405107214614
"469",1986-01-01,"Biens",-0.0114102453329809
"470",1986-01-01,"Biens manufacturés",0.00892997819601226
"471",1986-01-01,"Biens industriels",-0.014571569429691
"472",1985-10-01,"Biens",-0.0195856776167388
"473",1985-10-01,"Biens manufacturés",0.00759158910005445
"474",1985-10-01,"Biens industriels",-0.023749643496072
"475",1985-07-01,"Biens",-0.0202707341935279
"476",1985-07-01,"Biens manufacturés",0.00634846860360099
"477",1985-07-01,"Biens industriels",-0.0222671744033126
"478",1985-04-01,"Biens",-0.0172931724749442
"479",1985-04-01,"Biens manufacturés",0.0144557594647607
"480",1985-04-01,"Biens industriels",-0.0203509149044791
"481",1985-01-01,"Biens",-0.027909431804436
"482",1985-01-01,"Biens manufacturés",0.0109361426042205
"483",1985-01-01,"Biens industriels",-0.0306640861255595
"484",1984-10-01,"Biens",-0.0221157885891942
"485",1984-10-01,"Biens manufacturés",0.0130241156205361
"486",1984-10-01,"Biens industriels",-0.0251911604066885
"487",1984-07-01,"Biens",-0.0114242753131642
"488",1984-07-01,"Biens manufacturés",0.0176310315199204
"489",1984-07-01,"Biens industriels",-0.0151325012436124
"490",1984-04-01,"Biens",-0.0188385758727964
"491",1984-04-01,"Biens manufacturés",0.0166724276990437
"492",1984-04-01,"Biens industriels",-0.0202788339670469
"493",1984-01-01,"Biens",-0.0256538084820617
"494",1984-01-01,"Biens manufacturés",0.0186157265939789
"495",1984-01-01,"Biens industriels",-0.026445592694471
"496",1983-10-01,"Biens",-0.0201901378018918
"497",1983-10-01,"Biens manufacturés",0.0138402074230566
"498",1983-10-01,"Biens industriels",-0.022350794641571
"499",1983-07-01,"Biens",-0.0175039405332139
"500",1983-07-01,"Biens manufacturés",0.015835730363265
"501",1983-07-01,"Biens industriels",-0.021061153395605
"502",1983-04-01,"Biens",-0.0244107000971131
"503",1983-04-01,"Biens manufacturés",0.00896088990906683
"504",1983-04-01,"Biens industriels",-0.0268006911425292
"505",1983-01-01,"Biens",-0.0383092347874554
"506",1983-01-01,"Biens manufacturés",-0.000952708088945346
"507",1983-01-01,"Biens industriels",-0.0397220944023539
"508",1982-10-01,"Biens",-0.0417279362617972
