"","date","OBS_VALUE","Coicop2016"
"116",2024-09-01,122.031565424849,"Produits alimentaires et boissons non alcoolisées"
"117",2024-09-01,147.516361805672,"Électricité, gaz et autres combustibles"
"118",2024-10-01,114.771460423634,"Nomenclature Coicop : Ensemble harmonisé"
"119",2024-10-01,122.398605248669,"Produits alimentaires et boissons non alcoolisées"
"120",2024-10-01,148.825306259439,"Électricité, gaz et autres combustibles"
"121",2024-11-01,114.604236343367,"Nomenclature Coicop : Ensemble harmonisé"
"122",2024-11-01,122.23343732795,"Produits alimentaires et boissons non alcoolisées"
"123",2024-11-01,148.724618224534,"Électricité, gaz et autres combustibles"
"124",2024-12-01,114.845782237087,"Nomenclature Coicop : Ensemble harmonisé"
"125",2024-12-01,122.077445402826,"Produits alimentaires et boissons non alcoolisées"
"126",2024-12-01,149.697935895284,"Électricité, gaz et autres combustibles"
"127",2025-01-01,114.659977703456,"Nomenclature Coicop : Ensemble harmonisé"
"128",2025-01-01,122.462837217838,"Produits alimentaires et boissons non alcoolisées"
"129",2025-01-01,150.830676287968,"Électricité, gaz et autres combustibles"
"130",2025-02-01,114.725009290227,"Nomenclature Coicop : Ensemble harmonisé"
"131",2025-02-01,122.31602128831,"Produits alimentaires et boissons non alcoolisées"
"132",2025-02-01,139.150864238966,"Électricité, gaz et autres combustibles"
"133",2025-03-01,114.947974730583,"Nomenclature Coicop : Ensemble harmonisé"
"134",2025-03-01,122.710589098917,"Produits alimentaires et boissons non alcoolisées"
"135",2025-03-01,139.066957543212,"Électricité, gaz et autres combustibles"
"136",2025-04-01,115.709773318469,"Nomenclature Coicop : Ensemble harmonisé"
"137",2025-04-01,123.674068636447,"Produits alimentaires et boissons non alcoolisées"
"138",2025-04-01,138.336969290149,"Électricité, gaz et autres combustibles"
"139",2025-05-01,115.496098104794,"Nomenclature Coicop : Ensemble harmonisé"
"140",2025-05-01,124.298036336943,"Produits alimentaires et boissons non alcoolisées"
"141",2025-05-01,136.457459305253,"Électricité, gaz et autres combustibles"
"142",2025-06-01,115.988480118915,"Nomenclature Coicop : Ensemble harmonisé"
"143",2025-06-01,124.151220407414,"Produits alimentaires et boissons non alcoolisées"
"144",2025-06-01,135.610001678134,"Électricité, gaz et autres combustibles"
"145",2025-07-01,116.313638052768,"Nomenclature Coicop : Ensemble harmonisé"
"146",2025-07-01,124.197100385392,"Produits alimentaires et boissons non alcoolisées"
"147",2025-07-01,136.306427252895,"Électricité, gaz et autres combustibles"
"148",2025-08-01,116.87105165366,"Nomenclature Coicop : Ensemble harmonisé"
"149",2025-08-01,124.591668195999,"Produits alimentaires et boissons non alcoolisées"
"150",2025-08-01,136.717570062091,"Électricité, gaz et autres combustibles"
"151",2025-09-01,115.635451505017,"Nomenclature Coicop : Ensemble harmonisé"
"152",2025-09-01,124.34391631492,"Produits alimentaires et boissons non alcoolisées"
"153",2025-09-01,136.230911226716,"Électricité, gaz et autres combustibles"
"154",2025-10-01,115.737643998514,"Nomenclature Coicop : Ensemble harmonisé"
"155",2025-10-01,124.123692420628,"Produits alimentaires et boissons non alcoolisées"
"156",2025-10-01,135.886893774123,"Électricité, gaz et autres combustibles"
