"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"99",2021-12-01,701819,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"100",2021-11-01,644429,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"101",2021-11-01,696189,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"102",2021-10-01,656794,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"103",2021-10-01,692380,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"104",2021-09-01,661075,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"105",2021-09-01,689614,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"106",2021-08-01,660845,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"107",2021-08-01,687650,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"108",2021-07-01,659875,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"109",2021-07-01,685708,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"110",2021-06-01,658531,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"111",2021-06-01,685611,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"112",2021-05-01,658761,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"113",2021-05-01,686700,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"114",2021-04-01,655382,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"115",2021-04-01,687652,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"116",2021-03-01,665059,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"117",2021-03-01,685083,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"118",2021-02-01,669625,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"119",2021-02-01,684491,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"120",2021-01-01,663868,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"121",2021-01-01,688796,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"122",2020-12-01,654599,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"123",2020-12-01,696664,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
