"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"166",2019-04-01,758563,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"167",2019-03-01,607185,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"168",2019-03-01,758238,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"169",2019-02-01,613946,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"170",2019-02-01,757944,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"171",2019-01-01,610284,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"172",2019-01-01,758793,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"173",2018-12-01,609648,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"174",2018-12-01,758590,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"175",2018-11-01,613600,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"176",2018-11-01,759612,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"177",2018-10-01,613875,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"178",2018-10-01,760619,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"179",2018-09-01,613334,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"180",2018-09-01,761102,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"181",2018-08-01,613675,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"182",2018-08-01,761103,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"183",2018-07-01,613139,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"184",2018-07-01,762011,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
