"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"72",2022-07-01,748986,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"73",2022-06-01,659456,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"74",2022-06-01,750285,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"75",2022-05-01,657298,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"76",2022-05-01,749546,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"77",2022-04-01,658676,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"78",2022-04-01,748701,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"79",2022-03-01,659922,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"80",2022-03-01,751400,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"81",2022-02-01,661290,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"82",2022-02-01,752351,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"83",2022-01-01,661529,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"84",2022-01-01,748504,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"85",2021-12-01,661585,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"86",2021-12-01,742052,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"87",2021-11-01,661649,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"88",2021-11-01,735836,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
