"","date","Metier","Indice","Valeur"
"83",2009-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",109.109113230334
"84",2009-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",110.857548957552
"85",2010-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",105.642515670536
"86",2010-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",107.55606890726
"87",2010-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.8269154836925
"88",2010-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",101.635127982453
"89",2010-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",108.771246884851
"90",2010-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",110.741472321247
"91",2011-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",103.772237461403
"92",2011-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",105.843519332479
"93",2011-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.5396790410842
"94",2011-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",101.526479535072
"95",2011-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",111.246846019805
"96",2011-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",113.467320214176
"97",2012-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",102.529561773005
"98",2012-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",104.842562624665
"99",2012-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",98.1031939662349
"100",2012-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.316338812176
"101",2012-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",110.366915881186
"102",2012-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",112.856722391756
"103",2013-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",101.090934751345
"104",2013-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",103.49899713137
"105",2013-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",97.5480549291419
"106",2013-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",99.8717232372575
"107",2013-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",109.974821025665
"108",2013-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",112.594504283252
"109",2014-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",101.500464760836
"110",2014-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",104.023184460806
"111",2014-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",98.1573308409005
"112",2014-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.596959396221
"113",2014-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",110.356350259696
"114",2014-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",113.09917650658
"115",2015-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",102.502468409403
"116",2015-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",105.102664537278
"117",2015-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",98.5698226572342
"118",2015-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",101.070258746002
"119",2015-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",111.597838742541
"120",2015-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",114.428758550429
"121",2016-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",102.685700553383
"122",2016-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",105.427176530677
"123",2016-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",98.5618775033176
